Float32b,6.6-F32b-F5-P,Float32b 单精度 BE 场景 F5,parse,Float32b,N=1,signed_be,normal,normal,standalone,1933,228,8.49,false,,,
Float32b,6.6-F32b-F5-B,Float32b 单精度 BE 场景 F5,build,Float32b,N=1,signed_be,normal,normal,standalone,1877,152,12.32,true,,,
Float32l,6.6-F32l-F1-P,Float32l 单精度 LE 场景 F1,parse,Float32l,N=1,signed_le,normal,normal,standalone,1958,227,8.62,false,,,
Float32l,6.6-F32l-F1-B,Float32l 单精度 LE 场景 F1,build,Float32l,N=1,signed_le,normal,normal,standalone,1857,153,12.15,true,,,
Float32l,6.6-F32l-F2-P,Float32l 单精度 LE 场景 F2,parse,Float32l,N=1,signed_le,normal,normal,standalone,1973,228,8.65,false,,,
Float32l,6.6-F32l-F2-B,Float32l 单精度 LE 场景 F2,build,Float32l,N=1,signed_le,normal,normal,standalone,1842,154,11.92,true,,,
Float32l,6.6-F32l-F3-P,Float32l 单精度 LE 场景 F3,parse,Float32l,N=1,signed_le,normal,normal,standalone,1896,224,8.46,false,,,
Float32l,6.6-F32l-F3-B,Float32l 单精度 LE 场景 F3,build,Float32l,N=1,signed_le,normal,normal,standalone,1846,152,12.15,true,,,
Float32l,6.6-F32l-F4-P,Float32l 单精度 LE 场景 F4,parse,Float32l,N=1,signed_le,normal,normal,standalone,1935,228,8.47,false,,,
Float32l,6.6-F32l-F4-B,Float32l 单精度 LE 场景 F4,build,Float32l,N=1,signed_le,normal,normal,standalone,1938,150,12.89,true,,,
Float32l,6.6-F32l-F5-P,Float32l 单精度 LE 场景 F5,parse,Float32l,N=1,signed_le,normal,normal,standalone,1940,224,8.65,false,,,
Float32l,6.6-F32l-F5-B,Float32l 单精度 LE 场景 F5,build,Float32l,N=1,signed_le,normal,normal,standalone,1872,151,12.36,true,,,
Float64b,6.6-F64b-F1-P,Float64b 双精度 BE 场景 F1,parse,Float64b,N=1,signed_be,normal,normal,standalone,1967,226,8.70,false,,,
Float64b,6.6-F64b-F1-B,Float64b 双精度 BE 场景 F1,build,Float64b,N=1,signed_be,normal,normal,standalone,1849,148,12.46,true,,,
Float64b,6.6-F64b-F2-P,Float64b 双精度 BE 场景 F2,parse,Float64b,N=1,signed_be,normal,normal,standalone,1978,227,8.71,false,,,
Float64b,6.6-F64b-F2-B,Float64b 双精度 BE 场景 F2,build,Float64b,N=1,signed_be,normal,normal,standalone,1868,148,12.60,true,,,
Float64b,6.6-F64b-F3-P,Float64b 双精度 BE 场景 F3,parse,Float64b,N=1,signed_be,normal,normal,standalone,1938,225,8.61,false,,,
Float64b,6.6-F64b-F3-B,Float64b 双精度 BE 场景 F3,build,Float64b,N=1,signed_be,normal,normal,standalone,1845,147,12.51,true,,,
Float64b,6.6-F64b-F4-P,Float64b 双精度 BE 场景 F4,parse,Float64b,N=1,signed_be,normal,normal,standalone,1942,226,8.60,false,,,
Float64b,6.6-F64b-F4-B,Float64b 双精度 BE 场景 F4,build,Float64b,N=1,signed_be,normal,normal,standalone,1853,149,12.41,true,,,
Float64b,6.6-F64b-F5-P,Float64b 双精度 BE 场景 F5,parse,Float64b,N=1,signed_be,normal,normal,standalone,1978,225,8.79,false,,,
Float64b,6.6-F64b-F5-B,Float64b 双精度 BE 场景 F5,build,Float64b,N=1,signed_be,normal,normal,standalone,1923,148,12.96,true,,,
Float64l,6.6-F64l-F1-P,Float64l 双精度 LE 场景 F1,parse,Float64l,N=1,signed_le,normal,normal,standalone,1977,226,8.74,false,,,
Float64l,6.6-F64l-F1-B,Float64l 双精度 LE 场景 F1,build,Float64l,N=1,signed_le,normal,normal,standalone,1896,147,12.89,true,,,
Float64l,6.6-F64l-F2-P,Float64l 双精度 LE 场景 F2,parse,Float64l,N=1,signed_le,normal,normal,standalone,1928,229,8.43,false,,,
Float64l,6.6-F64l-F2-B,Float64l 双精度 LE 场景 F2,build,Float64l,N=1,signed_le,normal,normal,standalone,1924,147,13.09,true,,,
Float64l,6.6-F64l-F3-P,Float64l 双精度 LE 场景 F3,parse,Float64l,N=1,signed_le,normal,normal,standalone,1962,226,8.68,false,,,
Float64l,6.6-F64l-F3-B,Float64l 双精度 LE 场景 F3,build,Float64l,N=1,signed_le,normal,normal,standalone,1847,148,12.46,true,,,
Float64l,6.6-F64l-F4-P,Float64l 双精度 LE 场景 F4,parse,Float64l,N=1,signed_le,normal,normal,standalone,1977,226,8.76,false,,,
Float64l,6.6-F64l-F4-B,Float64l 双精度 LE 场景 F4,build,Float64l,N=1,signed_le,normal,normal,standalone,1857,147,12.60,true,,,
Float64l,6.6-F64l-F5-P,Float64l 双精度 LE 场景 F5,parse,Float64l,N=1,signed_le,normal,normal,standalone,1934,226,8.57,false,,,
Float64l,6.6-F64l-F5-B,Float64l 双精度 LE 场景 F5,build,Float64l,N=1,signed_le,normal,normal,standalone,1878,164,11.48,true,,,
Int24ub,6.6-I24ub-I1-P,Int24ub 3 字节无符号 BE 场景 I1,parse,Int24ub,N=1,unsigned_be,normal,normal,standalone,2100,222,9.44,false,,,
Int24ub,6.6-I24ub-I1-B,Int24ub 3 字节无符号 BE 场景 I1,build,Int24ub,N=1,unsigned_be,normal,normal,standalone,1974,187,10.53,true,,,
Int24ub,6.6-I24ub-I2-P,Int24ub 3 字节无符号 BE 场景 I2,parse,Int24ub,N=1,unsigned_be,normal,normal,standalone,2067,226,9.14,false,,,
Int24ub,6.6-I24ub-I2-B,Int24ub 3 字节无符号 BE 场景 I2,build,Int24ub,N=1,unsigned_be,normal,normal,standalone,2034,153,13.31,true,,,
Int24ub,6.6-I24ub-I3-P,Int24ub 3 字节无符号 BE 场景 I3,parse,Int24ub,N=1,unsigned_be,normal,normal,standalone,2114,229,9.24,false,,,
